"Field","Start","End","Length","Type","Comments"
"Revenues < $1 million  (Originations & ",,,,,
"Purchases) ",,,,,
"23. Total Loan Amount of Loans ",92,99,8,"N ","Amount is in thousands {e.g. 00000025 "
"to Small Farms ",,,,,"indicates $25,000); Right justified with "
"with Gross Annual Revenues ",,,,,"leading zeros "
"< $1 million (Originations & ",,,,,
"Purchases) ",,,,,
"24. Number of Small Farm Loans ",100,105,6,"N ","Right justified with leading zeros "
"Reported as Affiliate Loans  ",,,,,
"(Originations and Purchases) ",,,,,
"25. Total Loan Amount of Small Farm ",106,113,8,"N ","Amount is in thousands {e.g. 00000025 "
"Loans Reported as Affiliate ",,,,,"indicates $25,000); Right justified with "
"Loans (Originations &  Purchases) ",,,,,"leading zeros "
"Field ","Start ","End ","Length ","Type ","Comments, Values, Keys, Etc. "
"1. Table ID ",1,4,4,"AN ","Value is D3-0 "
"2. Respondent ID ",5,14,10,"AN ","Assigned by regulatory agency "
,,,,,"(same as HMDAID if applicable);  "
,,,,,"Right justified with leading zeros "
"3. Agency Code ",15,15,1,"N ","Values are 1=OCC, 2=FRS, "
,,,,,"3=FDIC, or 4=OTS "
"4. Activity Year ",16,19,4,"N ","Four digit year (e.g. 1996) "
"5. Loan Type ",20,20,1,"N ","Value is 4 (Small Business) "
"6. State ",21,22,2,"AN ","FIPS code with leading zeros "
,,,,,"or blank for totals across all "
,,,,,"states "
"7. County ",23,25,3,"AN ","FIPS code with leading zeros or blank "
,,,,,"for totals across all counties "
"8. MSA/MD ",26,29,4,"AN ","As defined by OMB; Right justified "
,,,,,"with leading zeros, NA left justified "
,,,,,"for areas outside of MSA/MD or blank "
,,,,,"for totals across all MSA/MDs "
"9. Assessment Area Number ",30,33,4,"AN ","Values are 0001 through 9999; Right "
,,,,,"justified with leading zeros, NA left justified "
,,,,,"for areas outside of an Assessment "
,,,,,"Area (including predominately military "
,,,,,"areas) or blank for totals across all "
,,,,,"Assessment Areas "
"10. Partial County Indicator ",34,34,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals across all counties "
"11. Split County Indicator ",35,35,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals across all counties "
"12. Report Level ",36,37,2,"AN ","Values are "
,,,,,"  05= Assessment Area Total "
,,,,,"  10= County Total within "
,,,,,"Assessment Area "
,,,,,"15= Activity Inside all "
,,,,,"Assessment Areas "
,,,,,"20= Activity Outside "
,,,,,"Assessment Area(s) "
,,,,,"30=Total Loans (Inside +Outside "
,,,,,"Assessment Area) "
"13. Number of Small Business Loans ",38,43,6,"N ","Right justified with leading zeros "
"Originated ",,,,,
"14. Total Loan Amount of Small Business ",44,51,8,"N ","Amount is in thousands {e.g. 25 would be  "
"Loans Originated ",,,,,"$25,000}; Right justified with leading zeros "
"15. Number of Small Business Loans ",52,57,6,"N ","Right justified with leading zeros "
"Purchased ",,,,,
"16. Total Loan Amount of Small Business ",58,65,8,"N ","Amount is in thousands {e.g. 25 indicates  "
"Loans Purchased ",,,,,"$25,000); Right justified with leading zeros "
"17. Filler ",66,113,48,"AN ","Blank "
"Field ","Start ","End ","Length ","Type ","Comments, Values, Keys, Etc. "
"1. Table ID ",1,4,4,"AN ","Value is D4-0 "
"2. Respondent ID ",5,14,10,"AN ","Assigned by regulatory agency "
,,,,,"(same as HMDAID if applicable);  "
,,,,,"Right justified with leading zeros "
"3. Agency Code ",15,15,1,"N ","Values are 1=OCC, 2=FRS, "
,,,,,"3=FDIC, or 4=OTS "
"4. Activity Year ",16,19,4,"N ","Four digit year (e.g. 1996) "
"5. Loan Type ",20,20,1,"N ","Value is 5 (Small Farm) "
"6. State ",21,22,2,"AN ","FIPS code with leading zeros "
,,,,,"or blank for totals across all "
,,,,,"states "
"7. County ",23,25,3,"AN ","FIPS code with leading zeros or blank "
,,,,,"for totals across all counties "
"8. MSA/MD ",26,29,4,"AN ","As defined by OMB; Right justified "
,,,,,"with leading zeros, NA left justified "
,,,,,"for areas outside of MSA/MD or blank "
,,,,,"for totals across all MSA/MDs "
"9. Assessment Area Number ",30,33,4,"AN ","Values are 0001 through 9999; Right "
,,,,,"justified with leading zeros, NA left justified "
,,,,,"for areas outside of an Assessment "
,,,,,"Area (including predominately military "
,,,,,"areas) or blank for totals across all "
,,,,,"Assessment Areas "
"10. Partial County Indicator ",34,34,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals across all counties "
"11. Split County Indicator ",35,35,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
,,,,,"OR blank for totals across all counties "
"12. Report Level ",36,37,2,"AN ","Values are "
,,,,,"  05= Assessment Area Total "
,,,,,"  10= County Total within "
,,,,,"Assessment Area "
,,,,,"15= Activity Inside all "
,,,,,"Assessment Areas "
,,,,,"20= Activity Outside "
,,,,,"Assessment Area(s) "
,,,,,"30=Total Loans (Inside +Outside "
,,,,,"Assessment Area) "
"13. Number of Small Farm Loans ",38,43,6,"N ","Right justified with leading zeros "
"Originated ",,,,,
"14. Total Loan Amount of Small Farm ",44,51,8,"N ","Amount is in thousands {e.g. 25 would be  "
"Loans Originated ",,,,,"$25,000}; Right justified with leading zeros "
"15. Number of Small Farm Loans ",52,57,6,"N ","Right justified with leading zeros "
"Purchased ",,,,,
"16. Total Loan Amount of Small Farm ",58,65,8,"N ","Amount is in thousands {e.g. 25 indicates  "
"Loans Purchased ",,,,,"$25,000); Right justified with leading zeros "
"17. Filler ",66,113,48,"AN ","Blank "
"Field ","Start ","End ","Length ","Type ","Comments, Values, Keys, Etc. "
"1. Table ID ",1,4,4,"AN ","Value is D5-0 "
"2. Respondent ID ",5,14,10,"AN ","Assigned by regulatory agency "
,,,,,"(same as HMDAID if applicable);  "
,,,,,"Right justified with leading zeros "
"3. Agency Code ",15,15,1,"N ","Values are 1=OCC, 2=FRS, "
,,,,,"3=FDIC, or 4=OTS "
"4. Activity Year ",16,19,4,"N ","Four digit year (e.g. 1996) "
"5. Loan Type ",20,20,1,"N ","Values are "
,,,,,"6 = Community Development "
,,,,,"7 = Consortium/Third-Party "
"6. Number of Loans ",21,26,6,"N ","Right justified with leading zeros "
"7. Total Loan Amount of ",27,34,8,"N ","Amount is in thousands {e.g. 25 would be  "
"Loans ",,,,,"$25,000}; Right justified with leading zeros "
"8. Number of Loans Reported ",35,40,6,"N ","Right justified with leading zeros or blank if  "
"as Affiliate Loans ",,,,,"not applicable "
"9. Total Loan Amount of Loans ",41,48,8,"N ","Amount is in thousands {e.g. 25 would be  "
