table,seq,column,is_pk,is_fk,type,size,description,derivedfrom,d_has_codes,d_is_code,id
sdfb_partners,73,min_weight,,,INTEGER,,Min Weight,,,,c03H0101b
sdfb_partners,74,max_quantity,,,INTEGER,,Max Quantity,,,,c03H0101c
sdfb_partners,75,min_quantity,,,INTEGER,,Min Quantity,,,,c03H0101d
sdfb_partners,76,expiredayscalcmethod,,,VARCHAR,16,ExpireDaysCalcMethod,,,,c03H0101e
sdfb_partners,77,dayspastexpire,,,INTEGER,,DaysPastExpire,,,,c03H0101f
sdfb_partners,78,polviewonly,,,VARCHAR,5,POLViewOnly,,,,c03H0101g
sdfb_partners,79,scheduled_location,,,VARCHAR,0,Scheduled Location,,,,c03H0101h
sdfb_partners,80,rooffsetdays,,,INTEGER,,ROOffsetDays,,,,c03H0101i
sdfb_partners,81,recurringorders,,,VARCHAR,5,RecurringOrders,,,,c03H0101j
sdfb_partners,82,pickuptime,,,DATE,,PickupTime,,,,c03H0101k
sdfb_partners,83,pickupday,,,VARCHAR,7,PickUpDay,,,,c03H0101l
sdfb_partners,84,statisticsrequired,,,VARCHAR,5,StatisticsRequired,,,,c03H0101m
sdfb_partners,85,default_ship_via,,,VARCHAR,8,Default Ship Via,,,,c03H0101n
sdfb_partners,86,assigned_to,,,VARCHAR,12,Assigned To,,,,c03H0101o
sdfb_partners,87,getfood,,,VARCHAR,5,GetFood,,,,c03H0101p
sdfb_partners,88,givefood,,,VARCHAR,5,GiveFood,,,,c03H0101q
sdfb_partners,89,donationhours,,,VARCHAR,0,DonationHours,,,,c03H0101r
sdfb_partners,90,homedelivery,,,VARCHAR,5,HomeDelivery,,,,c03H0101s
sdfb_partners,91,date_monitored_sent,,,VARCHAR,0,Date Monitored Sent,,,,c03H0101t
sdfb_partners,92,is_warehouse,,,VARCHAR,5,Is Warehouse,,,,c03H0101u
sdfb_partners,93,default_retail_pu_del,,,VARCHAR,5,Default Retail PU/Del,,,,c03H0101v
sdfb_partners,94,latitude,,,INTEGER,1,Latitude,,,,c03H0101w
sdfb_partners,95,longitude,,,INTEGER,,Longitude,,,,c03H0101x
sdfb_partners,96,deliveriesperperiod,,,INTEGER,,DeliveriesPerPeriod,,,,c03H0101y
sdfb_partners,97,defaultmobilepantrydrop,,,VARCHAR,5,DefaultMobilePantryDrop,,,,c03H0101z
sdfb_partners,98,city_rep,,,VARCHAR,10,City Rep,,,,c03H0101A
sdfb_partners,99,county_rep,,,VARCHAR,12,County Rep,,,,c03H0101B
sdfb_partners,100,stat_group,,,VARCHAR,8,Stat Group,,,,c03H0101C
,,,,,,,,,,,
agency_list,1,id,1,,INTEGER,,description,,,,t03H02
agency_list,2,agency_id,,,INTEGER,4,agency_id,,,,c03H02002
agency_list,3,site_id,,,INTEGER,2,site_id,,,,c03H02003
agency_list,4,name,,,VARCHAR,74,name,,,,c03H02004
agency_list,5,address,,,VARCHAR,53,address,,,,c03H02005
agency_list,6,geocoded_address,,,VARCHAR,28,geocoded_address,,,,c03H02006
agency_list,7,geocoded_city,,,VARCHAR,13,geocoded_city,,,,c03H02007
agency_list,8,lat,,,REAL,,lat,,,,c03H02008
agency_list,9,lon,,,REAL,,lon,,,,c03H02009
,,,,,,,,,,,
locations,1,id,1,,INTEGER,,,t03H01,,,t03H03
locations,2,agency_id,,,VARCHAR,11,,c03H01002,,,c03H03002
locations,3,site_id,,,INTEGER,1,,c03H01003,,,c03H03003
locations,4,name,,,VARCHAR,74,,c03H01004,,,c03H03004
locations,5,orig_address,,,VARCHAR,55,,c03H01005,,,c03H03005
locations,6,geocoded_address,,,VARCHAR,38,,c03H01006,,,c03H03006
locations,7,city,,,VARCHAR,15,,c03H01007,,,c03H03007
locations,8,lat,,,REAL,,,c03H01008,,,c03H03008
locations,9,lon,,,REAL,,,c03H01009,,,c03H03009
locations,10,gvid,,c03x09003,VARCHAR,12,,c03H0100a,,,c03H0300a
